Word,Definition,Part of Speech,Synonyms,Antonyms
abandon,Cease to support or look after (someone); desert,verb,"desert, leave","support, keep"
abandoned,Having been deserted or left,adjective,"deserted, forsaken","inhabited, populated"
ability,Possession of the means or skill to do something,noun,"talent, skill","inability, incapacity"
able,"Having the power, skill, means, or opportunity to do something",adjective,"capable, competent","unable, incapable"
about,On the subject of; concerning,preposition,"regarding, concerning",none
above,At a higher level or layer,"preposition, adverb","over, higher than","below, under"
abroad,In or to a foreign country or countries,adverb,"overseas, internationally","domestically, locally"
absence,The state of being away from a place or person,noun,"nonattendance, nonexistence","presence, attendance"
absent,"Not present in a place, at an occasion, or as part of something",adjective,"missing, away","present, available"
absolute,Not qualified or diminished in any way; total,adjective,"complete, total","partial, relative"
absolutely,"With no qualification, restriction, or limitation; totally",adverb,"completely, totally","partially, incompletely"
absorb,"Take in or soak up (energy, or a liquid or other substance) by chemical or physical action",verb,"soak up, take in","release, exude"
abuse,Use (something) to bad effect or for a bad purpose; misuse,"noun, verb","misuse, mistreat","use properly, care"
academic,Relating to education and scholarship,"adjective, noun","educational, scholarly","nonacademic, unscholarly"
accent,"A distinctive mode of pronunciation of a language, especially one associated with a particular nation, locality, or social class","noun, verb","pronunciation, intonation",none
accept,Consent to receive or undertake (something offered),verb,"agree, receive","reject, refuse"
acceptable,Able to be agreed on; suitable,adjective,"satisfactory, suitable","unacceptable, unsuitable"
access,A means of approaching or entering a place,"noun, verb","entry, admittance","exit, egress"
accident,"An unfortunate incident that happens unexpectedly and unintentionally, typically resulting in damage or injury",noun,"mishap, misfortune","intentional, deliberate"
accidental,"Happening by chance, unintentionally, or unexpectedly","adjective, noun","unintentional, chance","intentional, deliberate"
accidentally,By chance; in a way that was not planned or intended,adverb,"unintentionally, by chance","deliberately, intentionally"
accommodation,"A room, group of rooms, or building in which someone may live or stay",noun,"lodging, housing",homelessness
accompany,Go somewhere with (someone) as a companion or escort,verb,"escort, chaperone","desert, abandon"
according to,As stated by or in,preposition,"as per, in agreement with","disagreeing, contrary to"
account,A report or description of an event or experience,"noun, verb","report, description","ignorance, neglect"
